Index,Sample,SiteN,Site,Sitecode,Spp,Date,Month,Year,Collector,Element,Value
890,Sarg-52,3,Puerto Morelos,PM,Sflu III,27/09/2018,Sep,2018,MG,Al,369.41
891,Sarg-52,3,Puerto Morelos,PM,Sflu III,27/09/2018,Sep,2018,MG,Al,99
892,Sarg-52,3,Puerto Morelos,PM,Sflu III,27/09/2018,Sep,2018,MG,Al,441.14
893,Sarg-53,3,Puerto Morelos,PM,Snat VIII,27/09/2018,Sep,2018,MG,Al,99
894,Sarg-53,3,Puerto Morelos,PM,Snat VIII,27/09/2018,Sep,2018,MG,Al,99
895,Sarg-53,3,Puerto Morelos,PM,Snat VIII,27/09/2018,Sep,2018,MG,Al,350.53
896,Sarg-53,3,Puerto Morelos,PM,Snat VIII,27/09/2018,Sep,2018,MG,Al,99
897,Sarg-53,3,Puerto Morelos,PM,Snat VIII,27/09/2018,Sep,2018,MG,Al,99
898,Sarg-54,3,Puerto Morelos,PM,Sflu III,27/08/2018,Aug,2018,MG,Al,258.65
899,Sarg-54,3,Puerto Morelos,PM,Sflu III,27/08/2018,Aug,2018,MG,Al,376.44
900,Sarg-54,3,Puerto Morelos,PM,Sflu III,27/08/2018,Aug,2018,MG,Al,99
901,Sarg-54,3,Puerto Morelos,PM,Sflu III,27/08/2018,Aug,2018,MG,Al,99
902,Sarg-54,3,Puerto Morelos,PM,Sflu III,27/08/2018,Aug,2018,MG,Al,99
903,Sarg-55,3,Puerto Morelos,PM,Snat VIII,08/02/2019,Feb,2019,MG,Al,99
904,Sarg-55,3,Puerto Morelos,PM,Snat VIII,08/02/2019,Feb,2019,MG,Al,99
905,Sarg-55,3,Puerto Morelos,PM,Snat VIII,08/02/2019,Feb,2019,MG,Al,99
906,Sarg-55,3,Puerto Morelos,PM,Snat VIII,08/02/2019,Feb,2019,MG,Al,224.29
907,Sarg-55,3,Puerto Morelos,PM,Snat VIII,08/02/2019,Feb,2019,MG,Al,99
912,Sarg-56,3,Puerto Morelos,PM,Sflu III,14/12/2018,Dec,2018,MG,Al,225.41
913,Sarg-56,3,Puerto Morelos,PM,Sflu III,14/12/2018,Dec,2018,MG,Al,310.8
914,Sarg-56,3,Puerto Morelos,PM,Sflu III,14/12/2018,Dec,2018,MG,Al,99
915,Sarg-56,3,Puerto Morelos,PM,Sflu III,14/12/2018,Dec,2018,MG,Al,99
916,Sarg-56,3,Puerto Morelos,PM,Sflu III,14/12/2018,Dec,2018,MG,Al,279.69
917,Sarg-57,3,Puerto Morelos,PM,Snat I,14/12/2018,Dec,2018,MG,Al,99
918,Sarg-57,3,Puerto Morelos,PM,Snat I,14/12/2018,Dec,2018,MG,Al,99
919,Sarg-57,3,Puerto Morelos,PM,Snat I,14/12/2018,Dec,2018,MG,Al,343.89
920,Sarg-57,3,Puerto Morelos,PM,Snat I,14/12/2018,Dec,2018,MG,Al,363.24
921,Sarg-57,3,Puerto Morelos,PM,Snat I,14/12/2018,Dec,2018,MG,Al,99
922,Sarg-58,3,Puerto Morelos,PM,Sflu III,20/02/2019,Feb,2019,MG,Al,273.7
923,Sarg-58,3,Puerto Morelos,PM,Sflu III,20/02/2019,Feb,2019,MG,Al,492.15
924,Sarg-58,3,Puerto Morelos,PM,Sflu III,20/02/2019,Feb,2019,MG,Al,271.21
925,Sarg-58,3,Puerto Morelos,PM,Sflu III,20/02/2019,Feb,2019,MG,Al,261.67
926,Sarg-58,3,Puerto Morelos,PM,Sflu III,20/02/2019,Feb,2019,MG,Al,345.79
927,Sarg-59,3,Puerto Morelos,PM,Snat I,20/02/2019,Feb,2019,MG,Al,99
928,Sarg-59,3,Puerto Morelos,PM,Snat I,20/02/2019,Feb,2019,MG,Al,393.76
929,Sarg-59,3,Puerto Morelos,PM,Snat I,20/02/2019,Feb,2019,MG,Al,99
930,Sarg-59,3,Puerto Morelos,PM,Snat I,20/02/2019,Feb,2019,MG,Al,212.82
931,Sarg-59,3,Puerto Morelos,PM,Snat I,20/02/2019,Feb,2019,MG,Al,99
932,Sarg-06,7,Xahuayxol,Xa,Sflu III,02/05/2019,May,2019,NCT,Al,311.27
933,Sarg-06,7,Xahuayxol,Xa,Sflu III,02/05/2019,May,2019,NCT,Al,99
934,Sarg-06,7,Xahuayxol,Xa,Sflu III,02/05/2019,May,2019,NCT,Al,99
935,Sarg-06,7,Xahuayxol,Xa,Sflu III,02/05/2019,May,2019,NCT,Al,538.6
936,Sarg-06,7,Xahuayxol,Xa,Sflu III,02/05/2019,May,2019,NCT,Al,99
941,Sarg-61,3,Puerto Morelos,PM,Sflu III,27/04/2019,Apr,2019,MG,Al,445.2
942,Sarg-61,3,Puerto Morelos,PM,Sflu III,27/04/2019,Apr,2019,MG,Al,99
943,Sarg-61,3,Puerto Morelos,PM,Sflu III,27/04/2019,Apr,2019,MG,Al,99
944,Sarg-61,3,Puerto Morelos,PM,Sflu III,27/04/2019,Apr,2019,MG,Al,99
945,Sarg-61,3,Puerto Morelos,PM,Sflu III,27/04/2019,Apr,2019,MG,Al,273.47
946,Sarg-62,4,Cozumel,Co,Sflu III,01/05/2019,May,2019,MG,Al,447.69
947,Sarg-62,4,Cozumel,Co,Sflu III,01/05/2019,May,2019,MG,Al,426.79
948,Sarg-62,4,Cozumel,Co,Sflu III,01/05/2019,May,2019,MG,Al,99
949,Sarg-62,4,Cozumel,Co,Sflu III,01/05/2019,May,2019,MG,Al,327.3
950,Sarg-62,4,Cozumel,Co,Sflu III,01/05/2019,May,2019,MG,Al,99
951,Sarg-63,4,Cozumel,Co,Snat VIII,01/05/2019,May,2019,MG,Al,326.63
952,Sarg-63,4,Cozumel,Co,Snat VIII,01/05/2019,May,2019,MG,Al,99
953,Sarg-63,4,Cozumel,Co,Snat VIII,01/05/2019,May,2019,MG,Al,330.67
954,Sarg-63,4,Cozumel,Co,Snat VIII,01/05/2019,May,2019,MG,Al,446.15
955,Sarg-63,4,Cozumel,Co,Snat VIII,01/05/2019,May,2019,MG,Al,99
956,Sarg-64,2,RBCM,RBCM,Sflu III,22/08/2018,Aug,2018,MG,Al,338.75
957,Sarg-64,2,RBCM,RBCM,Sflu III,22/08/2018,Aug,2018,MG,Al,412.5
958,Sarg-64,2,RBCM,RBCM,Sflu III,22/08/2018,Aug,2018,MG,Al,388.97
959,Sarg-64,2,RBCM,RBCM,Sflu III,22/08/2018,Aug,2018,MG,Al,216.28
960,Sarg-64,2,RBCM,RBCM,Sflu III,22/08/2018,Aug,2018,MG,Al,286.01
961,Sarg-66,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,246.62
962,Sarg-66,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,652.67
963,Sarg-66,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,443.2
964,Sarg-66,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,299.99
965,Sarg-66,1,Contoy Is,CI,Sarg sp,17/03/2019,Mar,2019,MG,Al,244.76
968,Sarg-67,4,Cozumel,Co,Snat I,01/05/2019,May,2019,MG,Al,99
969,Sarg-67,4,Cozumel,Co,Snat I,01/05/2019,May,2019,MG,Al,341.93
970,Sarg-67,4,Cozumel,Co,Snat I,01/05/2019,May,2019,MG,Al,453.56
971,Sarg-67,4,Cozumel,Co,Snat I,01/05/2019,May,2019,MG,Al,321.72
972,Sarg-67,4,Cozumel,Co,Snat I,01/05/2019,May,2019,MG,Al,366.2
973,Sarg-68,4,Cozumel,Co,Snat VIII,06/12/2018,Dec,2018,MG,Al,307.44
974,Sarg-68,4,Cozumel,Co,Snat VIII,06/12/2018,Dec,2018,MG,Al,419.77
975,Sarg-68,4,Cozumel,Co,Snat VIII,06/12/2018,Dec,2018,MG,Al,142.9
976,Sarg-68,4,Cozumel,Co,Snat VIII,06/12/2018,Dec,2018,MG,Al,302.73
977,Sarg-68,4,Cozumel,Co,Snat VIII,06/12/2018,Dec,2018,MG,Al,335.67
978,Sarg-69,1,Contoy Is,CI,Sarg sp,18/03/2019,Mar,2019,MG,Al,99
979,Sarg-69,1,Contoy Is,CI,Sarg sp,18/03/2019,Mar,2019,MG,Al,513.66
980,Sarg-69,1,Contoy Is,CI,Sarg sp,18/03/2019,Mar,2019,MG,Al,367.84
981,Sarg-69,1,Contoy Is,CI,Sarg sp,18/03/2019,Mar,2019,MG,Al,537.09
982,Sarg-69,1,Contoy Is,CI,Sarg sp,18/03/2019,Mar,2019,MG,Al,488.66
983,Sarg-07,7,Xahuayxol,Xa,Snat I,02/05/2019,May,2019,NCT,Al,309.22
984,Sarg-07,7,Xahuayxol,Xa,Snat I,02/05/2019,May,2019,NCT,Al,249.03
985,Sarg-07,7,Xahuayxol,Xa,Snat I,02/05/2019,May,2019,NCT,Al,99
986,Sarg-07,7,Xahuayxol,Xa,Snat I,02/05/2019,May,2019,NCT,Al,492.21
987,Sarg-07,7,Xahuayxol,Xa,Snat I,02/05/2019,May,2019,NCT,Al,99
